2026-08-31 15:07:30,786 | WARNING | mul_tree_mmkg.extractors.image_extractor.pipeline | [图片抽取/单图] 模型调用存在错误：chunk=doc-1:section:1:image:0，image_index=0，status=model_error，errors=['VLM地图空间抽取失败：架构测试不应调用模型方法：describe_image']
2026-08-31 15:07:30,786 | WARNING | mul_tree_mmkg.extractors.image_extractor.pipeline | [图片抽取/单图] 模型调用存在错误：chunk=doc-1:section:1:image:0，image_index=1，status=model_error，errors=['VLM地图空间抽取失败：架构测试不应调用模型方法：describe_image']
2026-08-31 15:07:30,788 | WARNING | mul_tree_mmkg.extractors.image_extractor.pipeline | [图片抽取/单图] 模型调用存在错误：chunk=doc-1:section:1:image:0，image_index=0，status=model_error，errors=['VLM地图空间抽取失败：架构测试不应调用模型方法：describe_image']
2026-08-31 15:07:30,788 | WARNING | mul_tree_mmkg.extractors.image_extractor.pipeline | [图片抽取/单图] 模型调用存在错误：chunk=doc-1:section:1:image:0，image_index=1，status=model_error，errors=['架构测试不应调用模型方法：describe_image']
2026-08-31 15:07:30,788 | WARNING | mul_tree_mmkg.extractors.image_extractor.pipeline | [图片抽取/单图] 模型调用存在错误：chunk=doc-1:section:1:image:0，image_index=0，status=model_error，errors=['VLM地图空间抽取失败：架构测试不应调用模型方法：describe_image']
2026-08-31 15:07:30,789 | WARNING | mul_tree_mmkg.extractors.image_extractor.pipeline | [图片抽取/单图] 模型调用存在错误：chunk=doc-1:section:1:image:0，image_index=1，status=model_error，errors=['架构测试不应调用模型方法：describe_image']
2026-08-31 15:07:30,790 | WARNING | mul_tree_mmkg.extractors.image_extractor.pipeline | [图片抽取/单图] 模型调用存在错误：chunk=doc-1:section:1:image:0，image_index=0，status=model_error，errors=['VLM地图空间抽取失败：架构测试不应调用模型方法：describe_image']
2026-08-31 15:07:33,143 | WARNING | mul_tree_mmkg.extractors.image_extractor.pipeline | [图片抽取/单图] 模型调用存在错误：chunk=chunk-partial，image_index=0，status=model_error，errors=['VLM 图片描述失败：service unavailable']
2026-08-31 15:10:16,544 | WARNING | mul_tree_mmkg.src.summarizer.bottom_up_summarizer | 章节《Empty》没有可摘要内容，已写入提示文本。
2026-08-31 15:10:16,670 | WARNING | mul_tree_mmkg.src.summarizer.bottom_up_summarizer | 章节《Section》首次模型响应缺少有效摘要或未返回 3 个合法 ConceptCategories，正在自动重试。
2026-08-31 15:10:16,696 | WARNING | mul_tree_mmkg.extractors.image_extractor.pipeline | [图片抽取/单图] 模型调用存在错误：chunk=doc-1:section:1:image:0，image_index=0，status=model_error，errors=['VLM地图空间抽取失败：架构测试不应调用模型方法：describe_image']
